Date,Open,High,Low,Close,%Change
21-12-2020,13741.90039,13777.5,13131.4502,13328.40039,-3.10%
22-12-2020,13373.65039,13492.0498,13192.90039,13466.2998,0.69%
23-12-2020,13473.5,13619.4502,13432.2002,13601.09961,0.94%
24-12-2020,13672.15039,13771.75,13626.90039,13749.25,0.56%
28-12-2020,13815.15039,13885.2998,13811.5498,13873.2002,0.42%
29-12-2020,13910.34961,13967.59961,13859.90039,13932.59961,0.16%
30-12-2020,13980.90039,13997,13864.9502,13981.9502,0.01%
31-12-2020,13970,14024.84961,13936.4502,13981.75,0.08%
01-01-2021,13996.09961,14049.84961,13991.34961,14018.5,0.16%
04-01-2021,14104.34961,14147.9502,13953.75,14132.90039,0.20%
05-01-2021,14075.15039,14215.59961,14048.15039,14199.5,0.88%
06-01-2021,14240.9502,14244.15039,14039.90039,14146.25,-0.67%
07-01-2021,14253.75,14256.25,14123.09961,14137.34961,-0.82%
08-01-2021,14258.40039,14367.2998,14221.65039,14347.25,0.62%
11-01-2021,14474.0498,14498.2002,14383.09961,14484.75,0.07%
12-01-2021,14473.7998,14590.65039,14432.84961,14563.4502,0.62%
13-01-2021,14639.7998,14653.34961,14435.7002,14564.84961,-0.51%
14-01-2021,14550.0498,14617.7998,14471.5,14595.59961,0.31%
15-01-2021,14594.34961,14617.4502,14357.84961,14433.7002,-1.11%
18-01-2021,14453.2998,14459.15039,14222.7998,14281.2998,-1.20%
19-01-2021,14371.65039,14546.0498,14350.84961,14521.15039,1.03%
20-01-2021,14538.2998,14666.4502,14517.5498,14644.7002,0.73%
21-01-2021,14730.9502,14753.5498,14517.25,14590.34961,-0.96%
22-01-2021,14583.40039,14619.90039,14357.75,14371.90039,-1.47%
25-01-2021,14477.7998,14491.09961,14218.59961,14238.90039,-1.68%
27-01-2021,14237.9502,14237.9502,13929.2998,13967.5,-1.94%
28-01-2021,13810.40039,13898.25,13713.25,13817.5498,0.05%
29-01-2021,13946.59961,13966.84961,13596.75,13634.59961,-2.29%
01-02-2021,13758.59961,14336.34961,13661.75,14281.2002,3.66%
02-02-2021,14481.09961,14731.7002,14469.15039,14647.84961,1.14%
03-02-2021,14754.90039,14868.84961,14574.15039,14789.9502,0.24%
04-02-2021,14789.0498,14913.7002,14714.75,14895.65039,0.72%
05-02-2021,14952.59961,15014.65039,14864.75,14924.25,-0.19%
08-02-2021,15064.2998,15159.90039,15041.0498,15115.7998,0.34%
09-02-2021,15164.15039,15257.09961,15064.2998,15109.2998,-0.36%
10-02-2021,15119.0498,15168.25,14977.2002,15106.5,-0.08%
11-02-2021,15073.25,15188.5,15065.40039,15173.2998,0.66%
12-02-2021,15186.2002,15243.5,15081,15163.2998,-0.15%
15-02-2021,15270.2998,15340.15039,15243.40039,15314.7002,0.29%
